 Value	Percentile	TotalCount	1/(1-Percentile)

     192.000     0.000000            1         1.00
     427.000     0.500000          478         2.00
     518.000     0.750000          715         4.00
     600.000     0.875000          833         8.00
     681.000     0.937500          893        16.00
     756.000     0.968750          923        32.00
     818.000     0.984375          939        64.00
     851.000     0.992188          945       128.00
     928.000     0.996094          949       256.00
     961.000     0.998047          951       512.00
     996.000     0.999023          952      1024.00
     996.000     1.000000          952          inf
#[Mean    =      450.966, StdDeviation   =      130.496]
#[Max     =      996.000, Total count    =          952]
#[Buckets =           27, SubBuckets     =         2048]
