 Value	Percentile	TotalCount	1/(1-Percentile)

     192.000     0.000000            1         1.00
     437.000     0.500000          505         2.00
     538.000     0.750000          751         4.00
     650.000     0.875000          877         8.00
     818.000     0.937500          939        16.00
   15895.000     0.968750          969        32.00
   18863.000     0.984375          985        64.00
   21631.000     0.992188          993       128.00
   24063.000     0.996094          997       256.00
   24479.000     0.998047          999       512.00
   25103.000     0.999023         1000      1024.00
   25103.000     1.000000         1000          inf
#[Mean    =     1245.872, StdDeviation   =     3675.945]
#[Max     =    25103.000, Total count    =         1000]
#[Buckets =           27, SubBuckets     =         2048]
