 Value	Percentile	TotalCount	1/(1-Percentile)

    5391.000     0.000000            1         1.00
   16927.000     0.500000           22         2.00
   20095.000     0.750000           33         4.00
   23583.000     0.875000           38         8.00
   24095.000     0.937500           41        16.00
   24479.000     0.968750           42        32.00
   25103.000     0.984375           43        64.00
   25103.000     1.000000           43          inf
#[Mean    =    17084.000, StdDeviation   =     4642.486]
#[Max     =    25103.000, Total count    =           43]
#[Buckets =           27, SubBuckets     =         2048]
